"id";"user_id";"trigram";"created_at";"updated_at"
"1";"3";"XDT";"2019-04-01 14:08:32";"2019-04-01 14:08:32"
"2";"4";"DRH";"2019-04-01 14:08:32";"2019-04-01 14:08:32"
"3";"5";"TDT";"2019-04-01 14:08:32";"2019-04-01 17:40:49"
"4";"7";"ALS";"2019-04-01 14:08:32";"2019-04-01 18:39:00"
"5";"8";"HBO";"2019-04-01 14:08:32";"2019-04-01 14:08:32"
"6";"10";"CHM";"2019-04-01 14:08:32";"2019-04-01 14:08:32"
"7";"112";"ECN";"2019-04-01 14:08:32";"2019-04-01 14:08:32"
"8";"113";"CUA";"2019-04-01 14:08:32";"2019-04-01 14:08:32"
"9";"114";"CMF";"2019-04-01 14:08:32";"2019-04-01 14:08:32"
"10";"115";"JMP";"2018-06-22 11:13:09";"2018-06-22 11:13:09"
"11";"117";"EDR";"2019-04-01 14:08:32";"2019-04-01 14:08:32"
"12";"118";"ECI";"2019-04-01 14:08:32";"2019-04-01 14:08:32"
"13";"181";"CMF";"2019-04-01 18:51:29";"2019-04-06 17:18:13"
"14";"201";"LAT";"2019-04-06 15:46:53";"2019-07-15 14:32:17"
"15";"205";"AYB";"2019-04-06 16:11:53";"2019-04-06 16:11:53"
"16";"206";"BMJ";"2019-04-06 16:23:24";"2019-04-06 16:23:24"
"17";"207";"BNR";"2019-04-06 16:34:34";"2019-04-06 16:34:34"
"18";"208";"HBO";"2019-04-06 16:49:59";"2019-04-06 16:49:59"
"19";"209";"ECN";"2019-04-06 17:02:49";"2019-04-06 17:02:49"
"20";"210";"ECI";"2019-04-06 17:05:14";"2019-04-06 17:05:14"
"21";"211";"CUA";"2019-04-06 17:14:48";"2019-04-06 17:14:48"
"22";"212";"TDT";"2019-04-06 17:23:46";"2019-04-06 17:23:46"
"23";"214";"DRL";"2019-04-06 17:32:20";"2019-04-06 17:32:20"
"24";"215";"EDR";"2019-04-06 17:37:06";"2020-03-26 13:48:45"
"25";"216";"FDO";"2019-04-06 17:40:24";"2019-05-27 11:54:13"
"26";"217";"OGT";"2019-04-06 17:45:28";"2019-08-09 17:51:41"
"27";"218";"GCH";"2019-04-06 17:54:57";"2019-04-06 17:54:57"
"28";"219";"GUH";"2019-04-06 18:01:56";"2019-04-06 18:01:56"
"29";"220";"JOC";"2019-04-06 18:08:22";"2019-04-06 18:08:22"
"30";"221";"AHE";"2019-04-06 18:11:52";"2019-05-27 11:54:34"
"31";"222";"JNA";"2019-04-06 18:16:24";"2019-06-05 19:42:37"
"32";"223";"BKA";"2019-04-06 18:21:27";"2021-01-25 16:22:29"
"33";"224";"LLN";"2019-04-06 18:28:20";"2019-04-06 18:45:02"
"34";"225";"LEG";"2019-04-06 18:38:09";"2019-04-06 18:38:09"
"35";"226";"LEP";"2019-04-06 18:50:55";"2021-02-12 11:16:01"
"36";"227";"ALS";"2019-04-06 19:05:16";"2019-04-06 19:05:16"
"37";"228";"CHM";"2019-04-06 19:12:22";"2020-02-10 14:10:11"
"38";"229";"MTY";"2019-04-06 19:17:34";"2019-04-06 19:17:34"
"39";"230";"MJP";"2019-04-06 19:22:04";"2019-04-06 19:22:04"
"40";"231";"DSP";"2019-04-06 19:25:50";"2019-07-24 10:40:51"
"41";"232";"ROM";"2019-04-06 19:29:11";"2019-04-06 19:29:11"
"42";"233";"PUM";"2019-04-06 19:33:42";"2019-04-06 19:33:42"
"43";"234";"SIM";"2019-04-06 19:38:01";"2021-02-11 19:02:07"
"44";"235";"TAL";"2019-04-06 19:41:57";"2019-04-06 19:41:57"
"45";"236";"AVE";"2019-04-06 19:47:06";"2019-04-06 19:47:06"
"46";"238";"XDT";"2019-04-07 18:54:56";"2019-04-07 18:54:56"
"47";"260";"AMF";"2019-04-12 09:32:35";"2019-04-12 09:32:35"
"48";"262";"XXX";"2019-04-14 10:27:52";"2019-04-14 10:27:52"
"49";"298";"TEST";"2019-04-27 17:45:42";"2022-06-13 10:24:56"
"50";"303";"AMS";"2019-05-14 07:33:30";"2019-05-14 07:33:30"
"51";"304";"EDU";"2019-05-15 08:03:43";"2019-07-22 12:12:54"
"52";"305";"PSH";"2019-05-15 08:16:44";"2019-05-15 08:16:44"
"53";"306";"MIN";"2019-05-15 08:25:15";"2019-05-15 08:25:15"
"54";"321";"CEM";"2019-06-05 19:22:04";"2019-06-05 19:43:02"
"55";"322";"JNA";"2019-06-05 19:44:36";"2020-09-13 18:53:03"
"56";"345";"AMS";"2019-06-21 10:15:58";"2019-06-21 10:15:58"
"57";"382";"DHO";"2019-07-11 12:14:43";"2019-07-11 12:14:43"
"58";"383";"PNJ";"2019-07-11 14:52:09";"2019-07-11 14:52:09"
"59";"392";"TTT";"2019-09-03 11:09:01";"2019-09-03 11:09:01"
"60";"393";"ANT";"2019-09-09 15:50:26";"2019-09-09 15:50:26"
"61";"396";"LBA";"2019-09-09 16:05:34";"2019-09-09 16:05:34"
"62";"407";"XXX";"2019-09-29 10:30:25";"2019-09-29 10:30:25"
"63";"408";"CDC";"2019-10-02 22:50:08";"2019-10-02 22:50:08"
"64";"410";"NFP";"2019-10-14 12:01:09";"2020-09-13 18:52:28"
"65";"430";"AMD";"2020-01-28 12:05:47";"2020-01-28 12:05:47"
"66";"455";"ADN";"2020-04-14 17:25:36";"2020-04-14 17:25:36"
"67";"461";"KMF";"2020-05-15 15:13:38";"2021-02-05 06:07:19"
"68";"468";"DPC";"2020-06-05 16:06:37";"2020-06-05 16:06:37"
"69";"474";"CRL";"2020-06-10 22:00:01";"2020-06-10 22:00:01"
"70";"484";"RBR";"2020-07-02 10:54:16";"2020-07-02 10:54:16"
"71";"485";"AWS";"2020-07-06 08:28:23";"2020-07-06 08:28:23"
"72";"490";"RDZ";"2020-07-09 11:16:53";"2020-12-04 15:56:05"
"73";"513";"FRH";"2020-09-15 19:40:56";"2020-09-15 19:40:56"
"74";"514";"PNZ";"2020-09-15 19:43:19";"2020-09-15 19:43:19"
"75";"519";"LHD";"2020-10-08 15:58:47";"2020-11-26 09:57:47"
"76";"521";"SED";"2020-10-31 17:36:26";"2020-10-31 17:48:46"
"77";"547";"SMY";"2021-07-07 11:05:43";"2021-07-07 15:45:45"
"78";"548";"JFR";"2021-07-07 11:28:49";"2022-09-02 17:07:21"
"79";"555";"MHP";"2021-10-18 19:24:17";"2021-11-26 18:36:12"
"80";"569";"ANS";"2021-11-30 08:09:10";"2021-11-30 08:09:10"
"81";"572";"MUN";"2021-11-30 15:08:54";"2021-11-30 15:08:54"
"82";"578";"RBL";"2022-01-22 18:21:01";"2022-01-22 18:26:50"
"83";"595";"VLP";"2022-05-16 14:47:13";"2022-05-16 14:47:13"
"84";"596";"HRN";"2022-05-16 15:10:31";"2022-05-16 15:10:31"
"85";"597";"FDL";"2022-05-19 11:08:33";"2022-05-19 11:08:33"
"86";"598";"PCH";"2022-05-19 11:21:04";"2022-05-19 11:21:04"
"87";"599";"RDS";"2022-05-19 11:29:54";"2022-05-19 11:29:54"
"88";"600";"RLC";"2022-05-19 11:41:11";"2022-05-19 11:41:11"
"89";"601";"MAX";"2022-05-19 11:49:29";"2022-05-19 11:49:29"
"90";"605";"THE";"2022-06-02 08:39:31";"2022-06-02 08:39:31"
